column;designation;type;code;
PID;Parcel identification number  - can be used with city web site for parcel review. ;Nominal;;
MS SubClass; Identifies the type of dwelling involved in the sale.;Nominal;20;1-STORY 1946 & NEWER ALL STYLES
;;;30;1-STORY 1945 & OLDER
;;;40;1-STORY W/FINISHED ATTIC ALL AGES
;;;45;1-1/2 STORY - UNFINISHED ALL AGES
;;;50;1-1/2 STORY FINISHED ALL AGES
;;;60;2-STORY 1946 & NEWER
;;;70;2-STORY 1945 & OLDER
;;;75;2-1/2 STORY ALL AGES
;;;80;SPLIT OR MULTI-LEVEL
;;;85;SPLIT FOYER
;;;90;DUPLEX - ALL STYLES AND AGES
;;;120;1-STORY PUD (Planned Unit Development) - 1946 & NEWER
;;;150;1-1/2 STORY PUD - ALL AGES
;;;160;2-STORY PUD - 1946 & NEWER
;;;180;PUD - MULTILEVEL - INCL SPLIT LEV/FOYER
;;;190;2 FAMILY CONVERSION - ALL STYLES AND AGES
MS Zoning (Nominal);Identifies the general zoning classification of the sale.;Nominal;A;Agriculture
;;;       C;Commercial
;;;       FV;Floating Village Residential
;;;       I;Industrial
;;;       RH;Residential High Density
;;;       RL;Residential Low Density
;;;       RP;Residential Low Density Park 
;;;       RM;Residential Medium Density
Lot Frontage;Linear feet of street connected to property;Continuous;;
Lot Area;Lot size in square feet;Continuous;;
Street;Type of road access to property;Nominal;       Grvl;Gravel
;;;       Pave;Paved
Alley; Type of alley access to property;Nominal;       Grvl;Gravel
;;;       Pave;Paved
;;;       NA ;No alley access
Lot Shape;General shape of property;Ordinal;       Reg;Regular
;;;       IR1;Slightly irregular
;;;       IR2;Moderately Irregular
;;;       IR3;Irregular
Land Contour;Flatness of the property;Nominal;       Lvl;Near Flat/Level
;;;       Bnk;Banked - Quick and significant rise from street grade to building
;;;       HLS;Hillside - Significant slope from side to side
;;;       Low;Depression
Utilities;Type of utilities available;Ordinal;       AllPub;All public Utilities (E,G,W,& S)
;;;       NoSewr;Electricity, Gas, and Water (Septic Tank)
;;;       NoSeWa;Electricity and Gas Only
;;;       ELO;Electricity only
Lot Config;Lot configuration;Nominal;       Inside;Inside lot
;;;       Corner;Corner lot
;;;       CulDSac;Cul-de-sac
;;;       FR2;Frontage on 2 sides of property
;;;       FR3;Frontage on 3 sides of property
Land Slope; Slope of property;Ordinal;       Gtl;Gentle slope
;;;       Mod;Moderate Slope
;;;       Sev;Severe Slope
Neighborhood;Physical locations within Ames city limits (map available);Nominal;       Blmngtn;Bloomington Heights
;;;       Blueste;Bluestem
;;;       BrDale;Briardale
;;;       BrkSide;Brookside
;;;       ClearCr;Clear Creek
;;;       CollgCr;College Creek
;;;       Crawfor;Crawford
;;;       Edwards;Edwards
;;;       Gilbert;Gilbert
;;;       Greens;Greens
;;;       GrnHill;Green Hills
;;;       IDOTRR;Iowa DOT and Rail Road
;;;       Landmrk;Landmark
;;;       MeadowV;Meadow Village
;;;       Mitchel;Mitchell
;;;       Names;North Ames
;;;       NoRidge;Northridge
;;;       NPkVill;Northpark Villa
;;;       NridgHt;Northridge Heights
;;;       NWAmes;Northwest Ames
;;;       OldTown;Old Town
;;;       SWISU;South & West of Iowa State University
;;;       Sawyer;Sawyer
;;;       SawyerW;Sawyer West
;;;       Somerst;Somerset
;;;       StoneBr;Stone Brook
;;;       Timber;Timberland
;;;       Veenker;Veenker
Condition 1;Proximity to various conditions;Nominal;       Artery;Adjacent to arterial street
;;;       Feedr;Adjacent to feeder street
;;;       Norm;Normal
;;;       RRNn;Within 200' of North-South Railroad
;;;       RRAn;Adjacent to North-South Railroad
;;;       PosN;Near positive off-site feature--park, greenbelt, etc.
;;;       PosA;Adjacent to postive off-site feature
;;;       RRNe;Within 200' of East-West Railroad
;;;       RRAe;Adjacent to East-West Railroad
Condition 2;Proximity to various conditions (if more than one is present);Nominal;       Artery;Adjacent to arterial street
;;;       Feedr;Adjacent to feeder street
;;;       Norm;Normal
;;;       RRNn;Within 200' of North-South Railroad
;;;       RRAn;Adjacent to North-South Railroad
;;;       PosN;Near positive off-site feature--park, greenbelt, etc.
;;;       PosA;Adjacent to postive off-site feature
;;;       RRNe;Within 200' of East-West Railroad
;;;       RRAe;Adjacent to East-West Railroad
Bldg Type ;Type of dwelling;Nominal;       1Fam;Single-family Detached
;;;       2FmCon;"Two-family Conversion; originally built as one-family dwelling"
;;;       Duplx;Duplex
;;;       TwnhsE;Townhouse End Unit
;;;       TwnhsI;Townhouse Inside Unit
House Style;Style of dwelling;Nominal;       1Story;One story
;;;       1.5Fin;One and one-half story: 2nd level finished
;;;       1.5Unf;One and one-half story: 2nd level unfinished
;;;       2Story;Two story
;;;       2.5Fin;Two and one-half story: 2nd level finished
;;;       2.5Unf;Two and one-half story: 2nd level unfinished
;;;       SFoyer;Split Foyer
;;;       SLvl;Split Level
Overall Qual;Rates the overall material and finish of the house;Ordinal;10;Very Excellent
;;;9;Excellent
;;;8;Very Good
;;;7;Good
;;;6;Above Average
;;;5;Average
;;;4;Below Average
;;;3;Fair
;;;2;Poor
;;;1;Very Poor
Overall Cond ;Rates the overall condition of the house;Ordinal;10;Very Excellent
;;;9;Excellent
;;;8;Very Good
;;;7;Good
;;;6;Above Average
;;;5;Average
;;;4;Below Average
;;;3;Fair
;;;2;Poor
;;;1;Very Poor
Year Built;Original construction date;Discrete;;
Year Remod/Add ; Remodel date (same as construction date if no remodeling or additions);Discrete;;
Roof Style; Type of roof;Nominal;       Flat;Flat
;;;       Gable;Gable
;;;       Gambrel;Gabrel (Barn)
;;;       Hip;Hip
;;;       Mansard;Mansard
;;;       Shed;Shed
Roof Matl;Roof material;Nominal;       ClyTile;Clay or Tile
;;;       CompShg;Standard (Composite) Shingle
;;;       Membran;Membrane
;;;       Metal;Metal
;;;       Roll;Roll
;;;       Tar&Grv;Gravel & Tar
;;;       WdShake;Wood Shakes
;;;       WdShngl;Wood Shingles
Exterior 1;Exterior covering on house;Nominal;       AsbShng;Asbestos Shingles
;;;       AsphShn;Asphalt Shingles
;;;       BrkComm;Brick Common
;;;       BrkFace;Brick Face
;;;       CBlock;Cinder Block
;;;       CemntBd;Cement Board
;;;       HdBoard;Hard Board
;;;       ImStucc;Imitation Stucco
;;;       MetalSd;Metal Siding
;;;       Other;Other
;;;       Plywood;Plywood
;;;       PreCast;PreCast
;;;       Stone;Stone
;;;       Stucco;Stucco
;;;       VinylSd;Vinyl Siding
;;;       Wd Sdng;Wood Siding
;;;       WdShing;Wood Shingles
Exterior 2 ;Exterior covering on house (if more than one material);Nominal;       AsbShng;Asbestos Shingles
;;;       AsphShn;Asphalt Shingles
;;;       BrkComm;Brick Common
;;;       BrkFace;Brick Face
;;;       CBlock;Cinder Block
;;;       CemntBd;Cement Board
;;;       HdBoard;Hard Board
;;;       ImStucc;Imitation Stucco
;;;       MetalSd;Metal Siding
;;;       Other;Other
;;;       Plywood;Plywood
;;;       PreCast;PreCast
;;;       Stone;Stone
;;;       Stucco;Stucco
;;;       VinylSd;Vinyl Siding
;;;       Wd Sdng;Wood Siding
;;;       WdShing;Wood Shingles
Mas Vnr Type;Masonry veneer type;Nominal;       BrkCmn;Brick Common
;;;       BrkFace;Brick Face
;;;       CBlock;Cinder Block
;;;       None;None
;;;       Stone;Stone
Mas Vnr Area;Masonry veneer area in square feet;Continuous;;
Exter Qual;Evaluates the quality of the material on the exterior ;Ordinal;       Ex;Excellent
;;;       Gd;Good
;;;       TA;Average/Typical
;;;       Fa;Fair
;;;       Po;Poor
Exter Cond;Evaluates the present condition of the material on the exterior;Ordinal;       Ex;Excellent
;;;       Gd;Good
;;;       TA;Average/Typical
;;;       Fa;Fair
;;;       Po;Poor
Foundation; Type of foundation;Nominal;       BrkTil;Brick & Tile
;;;       CBlock;Cinder Block
;;;       PConc;Poured Contrete
;;;       Slab;Slab
;;;       Stone;Stone
;;;       Wood;Wood
Bsmt Qual;Evaluates the height of the basement;Ordinal;       Ex;Excellent (100+ inches)
;;;       Gd;Good (90-99 inches)
;;;       TA;Typical (80-89 inches)
;;;       Fa;Fair (70-79 inches)
;;;       Po;Poor (<70 inches
